"id_fonte","numero_pubblicazione","tipo_atto","numero_atto","data_atto","oggetto","data_pubblicazione","data_scadenza","url_documento","allegati"
"1","1201/2023","Determine Dirigenziali","","2023-11-21","Ditta Critelli - Fornitura carta ... Impegno di spesa -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21111138&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1201/2023/- Det. n. 733_23.pdf"
"1","1200/2023","Determine Dirigenziali","","2023-11-21","Rinnovo polizza ... TIS ...","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101132&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1200/2023/- Det. n. 736_23.pdf"
"1","1199/2023","Determine Dirigenziali","","2023-11-21","Liquidazione carta uffici comunali - Ditta Critelli -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101112&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1199/2023/- Det. n. 743_23.pdf"
"1","1198/2023","Determine Dirigenziali","","2023-11-21","Ditta E. De gasperi - Fornitura registri ..... Liquidazione -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101149&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1198/2023/- Det. n. 744_23.pdf"
"1","1197/2023","Determine Dirigenziali","","2023-11-21","Ditta soluzioni tecnologiche  .... Liquidazione -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101104&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1197/2023/- Det. n. 745_23.pdf"
"1","1196/2023","Determine Dirigenziali","","2023-11-21","Ditta Novepuntosei - fornitura chiavette usb - Liquidazione -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101109&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1196/2023/- Det. n. 746_23.pdf"
"1","1195/2023","Determine Dirigenziali","","2023-11-21","Rinnovo anno 2023 - assistenza Tecnica .... ditta Nuova Escar .... liquidazione 2° semestre -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101100&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1195/2023/- Det. n. 747_23.pdf"
"1","1194/2023","Determine Dirigenziali","","2023-11-21","Legge 27/85 - fornitura libri di testo a.s. 2023/2024 - atto di liquidazione -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101114&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1194/2023/- Det. n. 748_23.pdf"
"1","1193/2023","Determine Dirigenziali","","2023-11-21","Segreteria convenzionata - liquidazione spese viaggi al segretraio comunale -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21101123&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1193/2023/- Det. n. 631_23.pdf"
"1","1192/2023","Determine Dirigenziali","","2023-11-21","Impegno di spesa ed affidamento del servizio di noleggio di proiettori nel comune di Squillace.-","2023-11-21","2023-12-06","http://albosquillace.asmenet.it/allegati.php?id_doc=21101115&sez=&data1=21/11/2023&data2=06/12/2023","allegati/fonte1/1192/2023/- Det_n°770_del_20.11.2023.pdf"
"1","1191/2023","Determine Dirigenziali","","2023-11-21","Programma R-estate a Squillace edizione anno 2023 -  Trasporto palco - Ditta Tolone Costruzione - Liquidazione -","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091124&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1191/2023/- Det. n. 723_23.pdf"
"1","1190/2023","Determine Dirigenziali","","2023-11-21","Programma R-estate a Squillace edizione anno 2023 - Servizio degustazione prodotti tipici Ditta Lanzellotti - Liquidazione -","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091141&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1190/2023/- Det. n. 722_23.pdf"
"1","1189/2023","Determine Dirigenziali","","2023-11-21","Convocazione commissione di vigilanza - manifestazioni .... impegno spesa e liquidazione -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091133&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1189/2023/- Det. 717_23.pdf"
"1","1188/2023","Determine Dirigenziali","","2023-11-21","Programma R-estate a Squillace edizione anno 2023 - Concorso - Balconi ... in festa  -  Impegno spesa e Liquidazione -","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091128&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1188/2023/- Det. n. 699_23.pdf"
"1","1187/2023","Determine Dirigenziali","","2023-11-21","Programma R-estate a Squillace edizione anno 2023 - Ass.ne Culturale ""Zefiro"" - Liquidazione -","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091102&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1187/2023/- Det. n. 663_23.pdf"
"1","1186/2023","Determine Dirigenziali","","2023-11-21","Programma R-estate a Squillace edizione anno 2023 - Ditta Grafiche Falcone ...  - Liquidazione -","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091121&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1186/2023/- Det. n. 659_23.pdf"
"1","1185/2023","Determine Dirigenziali","","2023-11-21","Programma R-estate a Squillace edizione anno 2023 - Ditta Grafiche Falcone - Liquidazione -","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091151&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1185/2023/- Det. n. 658_23.pdf"
"1","1184/2023","Determine Dirigenziali","","2023-11-21","Centri Estivi 2023 - Liquidazione -.","2023-11-21","2023-12-01","http://albosquillace.asmenet.it/allegati.php?id_doc=21091125&sez=&data1=21/11/2023&data2=01/12/2023","allegati/fonte1/1184/2023/- Det. n. 657_23.pdf"
