tipo,oggetto,numero_atto,data_atto,doc_principale_url,allegati,data_atto_normalizzata
"94

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Atto di indirizzo per l'espletamento di procedura ad evidenza pubblica per l'affidamento in concessione d'uso di suli pubblici per l'installazione di chioschi -.,16,31/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8493,"allegati/fonte2/16/Delibera_n_16_Documento_Principale.pdf,allegati/fonte2/16/DEl. G. C. n. 16_25.pdf",2025-01-31
"92

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Progetto ""benvenuto tra noi"" - Anno 2024 - Atto di indirizzo -.",14,31/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8490,"allegati/fonte2/14/Delibera_n_14_Documento_Principale.pdf,allegati/fonte2/14/Del. G.C.  n. 14_25.pdf",2025-01-31
"88

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Adesione Sistema Bibliotecario Territoriale fra comuni del comprensorio -.,15,31/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8484,"allegati/fonte2/15/Delibera_n_15_Documento_Principale.pdf,allegati/fonte2/15/Del . G.C. n, 15_25.pdf",2025-01-31
"87

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Fondo di solidarietà comunale - Coce D. 6 - Anno 2024 - Determinazioni -.,164,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8483,"allegati/fonte2/164/Delibera_n_164_Documento_Principale.pdf,allegati/fonte2/164/Del. G. C. n. 164_24.pdf",2024-12-28
"83

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Ricorso elettorale ex art 131 C.P.A., proposto davanti al Consiglio di Stato - Roma- in sede giurisdizionale. Atto di indirizzo -.",11,31/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8476,"allegati/fonte2/11/Delibera_n_11_Documento_Principale.pdf,allegati/fonte2/11/Del. G. C. n. 11_25.pdf",2025-01-31
"82

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Accordo di partenariato con ""Festival d'autunno"" - XXII edizione - Annualità 2025 - Determinazioni -.",12,31/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8475,"allegati/fonte2/12/Delibera_n_12_Documento_Principale.pdf,allegati/fonte2/12/Del. G. C. n. 12_25.pdf",2025-01-31
"67

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Richiesta collocamento a riposo dipendente comunale Sig. Raffaele Antonio - Presa atto -.,10,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8449,"allegati/fonte2/10/Delibera_n_10_Documento_Principale.pdf,allegati/fonte2/10/Del. G.C. n. 10_25.pdf",2025-01-02
"48

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Concessione contributo Ass.ne sportiva Circolo parrocchiale Squillace Lido - Atto di indirizzo -.,160,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8413,"allegati/fonte2/160/Delibera_n_160_Documento_Principale.pdf,allegati/fonte2/160/Del. G.C. n. 160_24.pdf",2024-11-29
"47

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Concessione contributo Ass.ne La rete - Atto di indirizzo -.,153,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8412,"allegati/fonte2/153/Delibera_n_153_Documento_Principale.pdf,allegati/fonte2/153/Del. G.C. n. 153_24.pdf",2024-11-29
"43

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Ricorsi proposti davanti alla corte di giustizia tributaria .... - Atto di indirizzo -,162,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8405,"allegati/fonte2/162/Delibera_n_162_Documento_Principale.pdf,allegati/fonte2/162/Del. G.C. n. 162_24.pdf",2024-11-29
